pixel,gps_true,drone_gps,drone_attitude
"(473, 250)","(-35.363261, 149.1652383)","(-35.36333536235057, 149.16520522960332)","(-0.0025582483503967524, -0.0005155028193257749, 3.4672558943377894)"
"(474, 253)","(-35.363261, 149.1652383)","(-35.36333559601847, 149.165204238102)","(-0.0018993207486346364, -0.0017052285838872194, 3.4672678152667444)"
"(473, 249)","(-35.363261, 149.1652383)","(-35.36333557747508, 149.16520473051804)","(0.000267009629169479, -0.0022534001618623734, 3.467224184666769)"
"(472, 252)","(-35.363261, 149.1652383)","(-35.36333550971752, 149.16520550731317)","(-0.006181803066283464, -0.0022013785783201456, 3.4674516359912317)"
"(472, 255)","(-35.363261, 149.1652383)","(-35.36333516277767, 149.16520426117907)","(-0.0033542350865900517, -0.0021790333557873964, 3.467283074055807)"
"(472, 250)","(-35.363261, 149.1652383)","(-35.363335231695444, 149.1652046262628)","(0.00024142232723534107, -0.002010201569646597, 3.4673569838153284)"
"(472, 254)","(-35.363261, 149.1652383)","(-35.36333526370143, 149.16520497162108)","(-0.0055448561906814575, -0.0017067384906113148, 3.4673731962787073)"
"(472, 254)","(-35.363261, 149.1652383)","(-35.36333506888905, 149.1652041464331)","(-0.0020713889971375465, -0.0017233090475201607, 3.4673262278186243)"
"(472, 249)","(-35.363261, 149.1652383)","(-35.36333511812134, 149.16520447904662)","(0.0017112359637394547, -0.0014901375398039818, 3.4673412481891077)"
"(472, 253)","(-35.363261, 149.1652383)","(-35.363335183484224, 149.16520480106718)","(-0.004028571769595146, -0.0013858788879588246, 3.4673290888415735)"
"(472, 252)","(-35.363261, 149.1652383)","(-35.36333514408676, 149.16520463206146)","(-0.0022024100180715322, -0.0014188626082614064, 3.467471424733297)"
"(472, 247)","(-35.363261, 149.1652383)","(-35.36333527646481, 149.16520502619932)","(0.0012083789333701134, -0.0015298472717404366, 3.4672985712634485)"
"(472, 252)","(-35.363261, 149.1652383)","(-35.363335301261486, 149.165205177728)","(-0.004798289854079485, -0.001457013888284564, 3.467336718236105)"
"(472, 252)","(-35.363261, 149.1652383)","(-35.36333509175172, 149.16520435889484)","(-0.0009223167435266078, -0.0015307776629924774, 3.467410151158468)"
"(472, 247)","(-35.363261, 149.1652383)","(-35.36333527863116, 149.1652050387911)","(0.0011363219236955047, -0.0015343095874413848, 3.467365566884176)"
"(473, 250)","(-35.363261, 149.1652383)","(-35.363335690928146, 149.16520554741416)","(-0.004970125388354063, -0.001563517958857119, 3.4673853556262415)"
"(473, 250)","(-35.363261, 149.1652383)","(-35.36333542167382, 149.1652046429629)","(-0.0006076105055399239, -0.0014556031674146652, 3.467405382786886)"
"(472, 246)","(-35.363261, 149.1652383)","(-35.36333536467236, 149.16520534419996)","(0.0007332367822527885, -0.001544698141515255, 3.467356030141012)"
