pixel,true_gps_lat,true_gps_lon,true_attitude_roll,true_attitude_pitch,true_attitude_yaw,estimated_gps_lat,estimated_gps_lon,timestamp
"(None, None)",40.9588849,29.1357974,2.15,-0.1962392589411206,-0.24241064403931922,90.15312168529151,,,1756989217.342466
"(None, None)",40.9588849,29.1357974,3.318,-0.17155731649843495,-0.21449404673567718,91.28607931386738,,,1756989217.8525245
"(None, None)",40.9588849,29.1357974,3.955,-0.17115309469757448,-0.21262498948168698,91.28527335154531,,,1756989217.9564106
"(255, 278)",40.9588849,29.1357974,3.955,-0.17115309469757448,-0.21262498948168698,91.28527335154531,40.95889133123291,29.13581267846295,1756989218.055338
"(314, 285)",40.9588849,29.1357974,4.591,-0.1724838209871766,-0.21055873719583912,91.28630471010999,40.95889403082697,29.135799468628,1756989218.363664
"(313, 310)",40.958885,29.1357974,5.203,-0.20320235665547093,-0.21293374871672593,91.28949440845238,40.958901066805126,29.135800220916437,1756989218.4617004
"(309, 286)",40.958885,29.1357974,5.203,-0.20320235665547093,-0.21293374871672593,91.28949440845238,40.95889557731191,29.13580126297682,1756989218.5679076
"(308, 278)",40.958885,29.1357974,5.203,-0.20320235665547093,-0.21293374871672593,91.28949440845238,40.95889374997083,29.13580150967667,1756989218.6716485
"(307, 273)",40.958885,29.1357974,5.78,-0.22133785626339028,-0.2075321629807301,91.28872942726534,40.958893466729684,29.135802256338362,1756989218.7795632
"(317, 275)",40.958885,29.1357974,5.78,-0.22133785626339028,-0.2075321629807301,91.28872942726534,40.95889402806933,29.13579892290885,1756989218.8829362
"(315, 268)",40.958885,29.1357974,5.78,-0.22133785626339028,-0.2075321629807301,91.28872942726534,40.958892246257676,29.135799539577697,1756989218.9879503
"(319, 269)",40.958885,29.1357974,6.317,-0.21656859663414954,-0.21183379477566297,91.28822399326677,40.958893215293955,29.13579828853884,1756989219.0906754
"(319, 266)",40.958885,29.1357974,6.816,-0.1991915415087925,-0.224479316394773,91.28868844613032,40.95889295036931,29.135798349462775,1756989219.1983235
"(318, 263)",40.958885,29.1357974,6.816,-0.1991915415087925,-0.224479316394773,91.28868844613032,40.958892049260825,29.13579871748743,1756989219.3013244
"(317, 260)",40.958885,29.1357974,6.816,-0.1991915415087925,-0.224479316394773,91.28868844613032,40.95889114820948,29.135799085488753,1756989219.4064155
"(318, 260)",40.958885,29.1357974,7.276,-0.19858342788903657,-0.22292728930801983,91.28609980443488,40.95889156955693,29.13579877515744,1756989219.5116582
"(318, 259)",40.958885,29.1357974,7.276,-0.19858342788903657,-0.22292728930801983,91.28609980443488,40.95889125130228,29.135798765681947,1756989219.6186297
"(317, 259)",40.958885,29.1357974,7.276,-0.19858342788903657,-0.22292728930801983,91.28609980443488,40.958891244278114,29.135799186997044,1756989219.730048
"(317, 258)",40.958885,29.1357974,7.701,-0.1940109364048304,-0.21589612982580741,91.28635252143418,40.958891266779524,29.135799269959747,1756989219.83255
"(319, 259)",40.958885,29.1357974,7.701,-0.1940109364048304,-0.21589612982580741,91.28635252143418,40.95889161849247,29.135798388175136,1756989219.9349186
"(319, 257)",40.958885,29.1357974,8.09,-0.18569189939788708,-0.21723860884325868,91.28786199324075,40.95889123446863,29.135798419183562,1756989220.0368743
"(319, 256)",40.958885,29.1357974,8.09,-0.18569189939788708,-0.21723860884325868,91.28786199324075,40.958890880665614,29.135798408643684,1756989220.1386828
"(318, 255)",40.958885,29.1357974,8.445,-0.1905848895047682,-0.21944358600640923,91.28896165369713,40.958890767636184,29.13579893505848,1756989220.2518263
"(319, 255)",40.958885,29.1357974,8.445,-0.1905848895047682,-0.21944358600640923,91.28896165369713,40.95889077583628,29.13579844611155,1756989220.3570828
"(320, 255)",40.958885,29.1357974,8.445,-0.1905848895047682,-0.21944358600640923,91.28896165369713,40.95889078403607,29.135797957182852,1756989220.4619958
"(320, 257)",40.958885,29.1357974,8.767,-0.20017544893503136,-0.2245150681662098,91.28654376673094,40.95889178452366,29.135798010519697,1756989220.571604
"(320, 256)",40.958885,29.1357974,8.767,-0.20017544893503136,-0.2245150681662098,91.28654376673094,40.95889140110347,29.135797999117216,1756989220.6736379
"(320, 256)",40.958885,29.1357974,8.767,-0.20017544893503136,-0.2245150681662098,91.28654376673094,40.95889140110347,29.135797999117216,1756989220.775355
"(319, 254)",40.958885,29.1357974,9.054,-0.20846837914469787,-0.21319803168088047,91.28702187997284,40.95889082214371,29.13579849851776,1756989221.0037348
"(318, 254)",40.958885,29.1357974,9.308,-0.2073145440824285,-0.19672976524110536,91.28908459710219,40.95889097522321,29.135799036660607,1756989221.1114547
"(319, 253)",40.958885,29.1357974,9.308,-0.2073145440824285,-0.19672976524110536,91.28908459710219,40.9588905772293,29.135798485611925,1756989221.2156022
"(319, 253)",40.958885,29.1357974,9.308,-0.2073145440824285,-0.19672976524110536,91.28908459710219,40.9588905772293,29.135798485611925,1756989221.322693
"(319, 252)",40.958885,29.1357974,9.526,-0.20770381150426634,-0.1872039058449722,91.28799859702416,40.95889029219347,29.135798479663737,1756989221.4260292
"(319, 252)",40.958885,29.1357974,9.526,-0.20770381150426634,-0.1872039058449722,91.28799859702416,40.95889029219347,29.135798479663737,1756989221.534129
"(320, 252)",40.958885,29.1357974,9.526,-0.20770381150426634,-0.1872039058449722,91.28799859702416,40.9588903014729,29.135797928171066,1756989221.636375
"(320, 252)",40.958885,29.1357974,9.709,-0.20891847793883114,-0.1785570197578683,91.28627055916414,40.958890405478066,29.135797920731356,1756989221.7457173
"(320, 252)",40.958885,29.1357974,9.856,-0.20531304519156354,-0.16735285481661608,91.28803957815917,40.95889048210237,29.1357979057525,1756989221.879552
"(320, 252)",40.958885,29.1357974,9.856,-0.20531304519156354,-0.16735285481661608,91.28803957815917,40.95889048210237,29.1357979057525,1756989222.065391
