pixel,gps_true,drone_gps,drone_attitude
"(472, 234)","(-35.3632612, 149.1652381, 9.57)","(-35.36333608992153, 149.16520872603311, 0)","(-0.0015953687252476811, -0.00031987205147743225, 3.4685829321490687)"
"(473, 235)","(-35.3632612, 149.1652381, 9.57)","(-35.36333646391918, 149.16520833496412, 0)","(-0.0016540383221581578, -0.001385766314342618, 3.4686394373523157)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333608130416, 149.16520764902083, 0)","(0.0009118129964917898, -0.0017692173132672906, 3.468663994465963)"
"(472, 240)","(-35.3632612, 149.1652381, 9.57)","(-35.36333624918334, 149.16520802664948, 0)","(-0.005260020028799772, -0.002084695268422365, 3.46869403520693)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333635108991, 149.1652080176461, 0)","(-0.00120087293908, -0.0026108180172741413, 3.468882147465841)"
"(471, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.36333603871417, 149.1652077155363, 0)","(0.0006610497366636992, -0.002803187817335129, 3.468858305607931)"
"(471, 240)","(-35.3632612, 149.1652381, 9.57)","(-35.36333608504603, 149.1652080242796, 0)","(-0.005001199897378683, -0.0026028186548501253, 3.4689047972308558)"
"(471, 237)","(-35.3632612, 149.1652381, 9.57)","(-35.363335955983196, 149.16520777773366, 0)","(-0.0005134497187100351, -0.0022991348523646593, 3.4688311258899134)"
"(471, 237)","(-35.3632612, 149.1652381, 9.57)","(-35.36333580797213, 149.16520744702453, 0)","(0.0011483392445370555, -0.0020155319944024086, 3.468940083180563)"
"(471, 240)","(-35.3632612, 149.1652381, 9.57)","(-35.363335870842, 149.16520794067162, 0)","(-0.004253491293638945, -0.0016414980636909604, 3.468875233327047)"
"(472, 235)","(-35.3632612, 149.1652381, 9.57)","(-35.36333611632544, 149.16520795043368, 0)","(0.0005579281714744866, -0.0015140344621613622, 3.468926493321554)"
"(472, 236)","(-35.3632612, 149.1652381, 9.57)","(-35.363335992460556, 149.16520758879642, 0)","(0.001255755894817412, -0.0013947179540991783, 3.469003979359762)"
"(472, 239)","(-35.3632612, 149.1652381, 9.57)","(-35.36333607630626, 149.16520805854057, 0)","(-0.0040587978437542915, -0.0011591236107051373, 3.4688363710986536)"
